Registration Number,Annual Turnover,Cuisine,City,Restaurant Location,Opening Day of Restaurant,Facebook Popularity Quotient,Endorsed By,Instagram Popularity Quotient,Fire Audit,Liquor License Obtained,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Type,Restaurant Theme,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Live Music Rating,Comedy Gigs Rating,Value Deals Rating,Live Sports Rating,Ambience,Lively,Service,Comfortablility,Privacy
60451,23000000,"turkish,nigerian",Noida,Near Party Hub,03-05-2007,74.4,Tier A Celebrity,69.9,1,1,1,1,0,2,Bar,Arabian,2,0,8,4,5,5,10,8,3,NA,NA,NA,7,9,6,4,7
60452,17000000,"cuban,british",hyderabad,Near Party Hub,21-02-2011,86.8,Not Specific,88.4,1,1,0,1,1,2,Bar,Greek,3,1,9,4,5,6,7,NA,3,NA,NA,NA,8,6,7,2,7
60453,23000000,"british,japanese",-1,Near Party Hub,06-10-2010,81.66,Not Specific,58.55,1,1,1,0,1,2,Bar,Delicio,1,1,5,6,6,5,10,8,4,NA,3,NA,8,8,7,2,9
60454,30000000,"tibetan,greek",pune,Near Party Hub,25-10-2011,90.15,Not Specific,83.33,1,1,1,1,1,2,Bar,Molino,4,0,5,3,5,4,10,8,NA,NA,NA,NA,5,4,4,5,5
60455,12000000,"welsh,thai",kolkata,Near Party Hub,27-01-2008,,Tier A Celebrity,64.8,1,1,1,1,1,2,Bar,Arabian,3,1,7,5,5,5,8,9,5,NA,NA,NA,4,7,4,6,5
60456,18000000,"turkish,sapnish",Noida,Near Business Hub,01-06-2010,55.6,Not Specific,68,0,1,1,1,0,2,Bar,Arabian,2,0,8,4,3,3,9,6,3,NA,NA,NA,8,7,6,5,8
60457,32500000,"welsh,thai",New Delhi,Near Party Hub,02-09-2006,61,Tier A Celebrity,61,0,1,1,1,0,2,Bar,90's,3,0,8,3,4,3,9,8,3,NA,NA,NA,5,5,2,6,3
60458,24000000,"turkish,sapnish",Lucknow,Near Party Hub,17-09-2009,80,Tier A Celebrity,74,1,1,1,1,1,2,Bar,90's,1,0,7,5,5,5,6,9,5,NA,NA,NA,6,7,4,0,7
60459,38000000,"welsh,thai",NOIDA,Near Party Hub,04-02-2007,82.8,Tier A Celebrity,75,1,1,1,1,1,2,Bar,Arabian,3,0,5,5,6,6,10,9,6,NA,NA,NA,8,6,5,2,6
60460,18000000,"algerian,belgian",Unnao,Near Party Hub,04-02-2012,78.6,Tier A Celebrity,82.6,1,1,1,1,1,2,Bar,Nature,3,0,9,5,5,3,10,6,NA,NA,4,2,5,5,5,3,9
60461,14500000,"peruvian,cuban",Noida,Near Party Hub,07-05-2012,82.8,Not Specific,69.2,1,1,1,1,1,2,Bar,90's,3,0,1,4,5,6,8,7,4,NA,3,NA,6,6,5,4,6
60462,30000000,"welsh,thai",New Delhi,Near Business Hub,15-08-2011,80,Tier A Celebrity,78,1,1,1,1,1,2,Bar,Arabian,4,0,7,5,5,5,5,10,4,NA,4,NA,7,8,5,1,6
60463,24000000,"tibetan,greek",Hyderabad,Near Party Hub,05-07-2010,91,Not Specific,91,0,1,1,1,1,2,Bar,Arabian,4,1,1,4,5,7,7,8,5,NA,3,NA,8,9,7,6,8
60464,24000000,"indian,irish",Gurgaon,Near Business Hub,14-12-2010,72.2,Tier A Celebrity,63,1,1,1,1,1,2,Bar,Chinese,3,0,10,5,4,5,8,6,NA,NA,NA,NA,7,9,8,0,6
60465,33500000,"japanese,thai",Kolkata,Near Party Hub,21-08-2007,,Not Specific,81,1,1,1,1,1,2,Bar,Arabian,3,1,3,4,5,6,10,10,4,NA,NA,NA,6,8,3,1,8
60466,17000000,"peruvian,cuban",Kolkata,Near Party Hub,04-02-2011,79.5,Not Specific,63.2,1,1,0,1,0,2,Bar,Greek,2,0,2,6,4,4,8,8,4,3,NA,NA,6,9,7,4,8
60467,21500000,"welsh,thai",New Delhi,Near Party Hub,05-10-2008,44.16,Not Specific,62,1,1,1,0,1,2,Caffee,Arabian,3,0,2,5,5,4,9,9,6,NA,NA,NA,7,8,5,3,7
60468,35000000,"british,japanese",Bhubaneswar,Near Business Hub,15-03-2010,94.4,Tier A Celebrity,86.8,0,1,1,1,1,2,Bar,Chinese,5,0,10,6,4,6,6,9,NA,NA,NA,NA,6,7,2,3,6
60469,24000000,"tibetan,greek",KOLKATA,Near Party Hub,19-02-2010,82,Not Specific,83,1,1,1,1,1,2,Bar,Arabian,4,1,5,6,4,5,6,NA,NA,NA,NA,NA,1,2,5,3,4
60470,36000000,"british,belgian",Faridabad,Near Party Hub,28-11-2007,64.4,Not Specific,69,1,1,0,1,1,2,Bar,Greek,2,1,1,4,5,3,8,9,3,4,NA,NA,4,8,4,8,8
60471,20000000,"tibetan,italian",Bangalore,Near Party Hub,12-08-2010,85.4,Not Specific,88.7,0,1,1,1,1,2,Bar,Greek,2,0,8,4,4,5,7,8,NA,3,NA,NA,8,10,4,4,6
60472,20000000,"turkish,sapnish",Noida,Near Party Hub,26-06-2010,72,Not Specific,72,0,1,1,1,1,2,Caffee,Arabian,3,0,8,3,3,3,8,10,3,NA,4,NA,4,7,8,8,9
60473,40000000,"tibetan,italian",Bangalore,Near Business Hub,03-08-2009,73.6,Not Specific,62.66,1,1,0,0,0,2,Bar,90's,3,1,7,4,3,3,5,10,4,NA,NA,NA,9,8,5,5,6
60474,33500000,"japanese,thai",Chennai,Near Party Hub,10-12-2008,,Not Specific,61,0,1,1,1,1,2,Bar,Arabian,3,0,7,6,5,5,6,9,4,NA,5,NA,8,9,4,2,5
60475,82000000,"chinese,salvadorian",-1,Near Party Hub,17-04-2010,,Tier A Celebrity,76,1,1,1,1,1,2,Bar,Greek,4,0,1,5,6,7,9,8,NA,3,NA,NA,6,9,4,1,7
60476,10000000,"chinese,salvadorian",Indore,Near Party Hub,25-05-2010,85.17,Tier A Celebrity,76.6,0,1,1,1,1,2,Bar,Nature,3,0,8,7,5,6,7,9,3,NA,NA,4,6,7,6,4,4
60477,19000000,"british,japanese",Gurgaon,Near Party Hub,12-05-2011,68.14,Not Specific,61.7,1,1,1,1,1,2,Bar,Arabian,3,1,5,5,5,4,9,9,5,NA,NA,NA,6,7,5,4,8
60478,22500000,"welsh,thai",Chennai,Near Party Hub,24-05-2010,89,Not Specific,96.7,1,1,1,1,1,2,Bar,Greek,5,1,10,5,4,3,9,6,3,2,NA,NA,5,6,6,7,6
60479,33000000,"tibetan,italian",Gurgaon,Near Party Hub,01-11-2010,74,Tier A Celebrity,85,1,1,1,0,1,2,Bar,Greek,2,0,2,6,5,5,8,9,3,4,NA,NA,8,8,5,1,5
60480,11000000,"welsh,thai",Lucknow,Near Party Hub,13-01-2010,83,Tier A Celebrity,73,0,1,1,1,1,2,Bar,90's,2,0,8,5,5,5,10,9,4,NA,4,NA,6,7,5,7,5
60481,42000000,"polish,jewish",Bangalore,Near Business Hub,22-04-2010,85,Tier A Celebrity,95,1,1,1,1,1,2,Bar,Arabian,3,1,5,5,6,5,6,9,5,NA,NA,NA,7,8,5,2,7
60482,12000000,"irish,belgian",Bangalore ,Near Party Hub,17-08-2007,79,Not Specific,62.5,1,0,1,1,1,2,Caffee,Arabian,3,1,9,4,4,5,6,8,4,NA,3,NA,6,6,3,5,4
60483,17000000,"welsh,thai",-1,Near Party Hub,27-12-2004,70.1,Not Specific,52,0,1,1,1,1,2,Bar,Downtown,1,1,3,4,4,3,5,10,2,NA,NA,4,5,7,4,7,7
60484,32500000,"tibetan,italian",Bangalore,Near Business Hub,16-09-2009,88.25,Not Specific,79.57,1,1,1,1,1,2,Bar,Greek,4,0,1,4,4,4,5,8,3,3,NA,NA,9,7,7,1,8
60485,30000000,"swedish,greek",Hyderabad,Near Party Hub,26-08-2011,,Not Specific,88,1,1,1,0,1,2,Bar,Greek,3,1,8,5,5,5,10,8,3,NA,3,NA,7,7,7,2,8
60486,34000000,"polish,jewish",Bangalore,Near Business Hub,05-12-2010,94.8,Tier A Celebrity,93,1,1,1,1,1,2,Bar,90's,3,0,1,6,5,5,6,10,4,NA,NA,NA,7,7,3,7,7
60487,39000000,"tibetan,greek",Pune,Near Party Hub,26-07-2009,77.4,Tier A Celebrity,78.8,1,1,1,1,0,2,Bar,Greek,3,0,8,6,6,6,8,8,NA,3,NA,NA,6,6,2,2,3
60488,30000000,"swedish,greek",Navi Mumbai,Near Business Hub,24-02-2007,66.66,Not Specific,61,1,1,1,1,1,2,Bar,90's,1,1,3,3,4,3,10,10,4,NA,NA,NA,3,7,4,1,8
60489,9000000,"tibetan,greek",Noida,Near Business Hub,05-11-2010,81.03,Not Specific,70,1,1,1,0,1,2,Bar,90's,3,0,9,5,5,6,10,10,5,NA,4,NA,5,8,5,0,7
60490,39500000,"tibetan,greek",-1,Near Party Hub,04-07-2010,73,Not Specific,85.4,1,1,1,0,1,2,Bar,Greek,3,0,6,5,5,7,10,9,4,5,NA,NA,5,5,4,4,3
60491,15000000,"indian,irish",Pune,Near Party Hub,30-04-2008,44,Tier A Celebrity,74,1,1,1,0,0,2,Bar,Parsi,2,1,10,4,3,4,10,9,NA,4,NA,NA,5,7,6,2,8
60492,10000000,"welsh,thai",Bhubaneshwar,Near Party Hub,07-06-2006,45.6,Not Specific,73.6,0,1,1,0,0,2,Caffee,Arabian,4,0,6,3,3,4,9,10,4,NA,NA,NA,8,7,2,4,5
60493,52500000,"tibetan,italian",Noida,Near Party Hub,07-09-2011,92,Tier A Celebrity,82.4,1,1,0,1,0,2,Bar,Molino,3,0,6,6,6,7,9,7,5,NA,NA,NA,6,8,5,3,6
60494,72000000,"cuban,british",Gurgaon,Near Party Hub,19-08-2010,87.8,Tier A Celebrity,74.4,1,1,1,1,1,1,Bar,Molino,3,0,4,5,5,5,5,9,NA,NA,NA,NA,4,7,5,6,6
60495,20000000,"algerian,belgian",New Delhi,Near Party Hub,19-05-2011,,Tier A Celebrity,65.8,1,1,1,1,1,2,Bar,Nature,4,0,3,5,5,6,9,8,NA,NA,NA,3,6,7,8,3,9
60496,31000000,"japanese,thai",Pune,Near Party Hub,05-06-2010,72.6,Not Specific,73,0,1,1,0,1,2,Bar,Greek,2,1,2,3,5,4,10,NA,3,NA,NA,NA,10,10,8,2,5
60497,44500000,"welsh,thai",Thane,Near Party Hub,23-07-2008,79.86,Not Specific,78.16,1,1,1,1,0,2,Bar,Parsi,1,0,1,4,4,4,6,7,NA,2,NA,NA,2,3,7,6,6
60498,12000000,"peruvian,cuban",-1,Near Party Hub,29-07-2011,84.67,Not Specific,74.92,1,1,1,1,1,2,Bar,Arabian,2,1,4,4,5,4,7,9,NA,NA,4,NA,10,10,3,0,8
60499,38500000,"tibetan,greek",-1,Near Party Hub,07-07-2010,85.6,Tier A Celebrity,77,1,1,1,1,1,2,Bar,90's,3,0,10,5,4,4,5,10,4,NA,NA,NA,4,7,3,3,6
60500,30000000,"tibetan,greek",Thiruvananthapuram,Near Business Hub,30-11-2011,90,Tier A Celebrity,79.4,1,1,0,1,1,2,Bar,Arabian,4,0,9,5,5,4,7,9,4,NA,5,NA,8,8,8,2,9
60501,260000000,"polish,jewish",-1,Near Party Hub,22-05-2008,86.6,Not Specific,69.6,0,1,0,1,1,2,Bar,Arabian,3,0,8,6,5,5,10,10,4,NA,NA,NA,7,8,5,2,5
60502,38500000,"japanese,thai",Coimbatore,Near Business Hub,29-05-2010,89,Not Specific,94.16,1,1,1,1,0,2,Bar,90's,4,0,5,4,5,6,8,9,5,NA,NA,NA,7,9,4,1,6
60503,24000000,"indian,irish",New Delhi,Near Party Hub,30-10-2009,48,Not Specific,51.4,0,1,1,1,1,1,Bar,Greek,3,1,5,3,4,4,9,9,NA,3,NA,NA,5,4,5,4,4
60504,26000000,"british,japanese",Noida,Near Party Hub,01-07-2009,53.3,Not Specific,68.4,1,1,1,1,1,2,Bar,Arabian,3,0,9,3,4,6,10,7,4,NA,3,NA,4,7,4,6,7
60505,46000000,"tibetan,greek",Pune,Near Party Hub,07-07-2009,86,Not Specific,84,1,1,0,0,1,2,Bar,Greek,4,0,8,4,4,5,9,7,NA,2,NA,NA,9,10,7,6,4
60506,50000000,"turkish,sapnish",New Delhi,Near Party Hub,09-07-2007,71.66,Local Celebrity,75.2,1,1,1,1,1,2,Bar,Greek,2,0,3,4,3,3,10,6,NA,1,NA,NA,5,3,4,3,4
60507,12000000,"tibetan,italian",New Delhi,Near Party Hub,05-12-2008,68.8,Not Specific,63.6,1,1,0,1,1,2,Bar,Greek,2,0,2,3,5,5,10,10,NA,3,NA,NA,9,7,5,3,8
60508,15000000,"welsh,thai",Bangalore,Near Party Hub,21-06-2008,64,Not Specific,65,1,1,0,1,1,2,Bar,90's,2,1,5,3,3,4,10,8,3,NA,NA,NA,5,8,6,7,9
60509,31000000,"tibetan,greek",Gandhi Nagar,Near Party Hub,02-07-2011,78.15,Not Specific,76.8,1,1,1,1,1,2,Bar,Greek,2,0,8,5,4,5,10,9,NA,5,4,NA,3,6,6,5,8
60510,45000000,"tibetan,italian",Hyderabad,Near Business Hub,01-08-2009,90,Local Celebrity,97.1,0,1,1,1,0,2,Bar,Arabian,3,0,1,6,5,6,9,9,5,NA,NA,NA,4,9,4,2,8
60511,71500000,"tibetan,italian",Ahmedabad,Near Party Hub,24-02-2008,83.43,Not Specific,73.4,1,1,1,1,1,2,Bar,Arabian,3,0,1,5,6,5,6,9,6,NA,NA,NA,4,4,0,6,5
60512,20000000,"turkish,sapnish",Gurgaon,Near Business Hub,17-07-2009,70,Tier A Celebrity,65,1,1,1,1,1,2,Bar,Arabian,3,0,10,4,4,4,5,10,4,NA,NA,NA,8,9,2,1,4
60513,32500000,"welsh,thai",Hyderabad,Near Party Hub,11-05-2012,86.9,Not Specific,94.9,1,1,1,1,0,2,Bar,Mise En,2,1,9,4,5,6,5,NA,3,NA,3,NA,,9,7,0,7
60514,40000000,"tibetan,greek",Noida,Near Party Hub,18-04-2010,85.6,Tier A Celebrity,86,0,1,1,1,1,1,Bar,Arabian,2,1,8,6,5,6,9,10,4,NA,NA,NA,8,6,5,1,2
60515,30000000,"tibetan,greek",Bangalore,Near Party Hub,10-10-2009,73.4,Not Specific,81,1,1,1,0,1,2,Caffee,Arabian,3,1,4,4,4,4,7,9,6,NA,NA,NA,5,7,4,1,5
60516,30000000,"tibetan,italian",Chennai,Near Business Hub,24-09-2011,90.8,Tier A Celebrity,77,1,1,1,0,1,1,Bar,90's,3,1,3,5,6,6,6,7,4,NA,3,NA,4,8,7,3,10
60517,43000000,"indian,irish",New Delhi,Near Party Hub,10-04-2009,73.33,Not Specific,70.2,1,1,1,1,1,2,Bar,Nature,2,0,7,3,6,5,8,10,NA,NA,NA,4,6,5,6,4,6
60518,12000000,"welsh,thai",Gurgaon,Near Party Hub,28-04-2009,69,Not Specific,70,1,1,1,1,0,2,Caffee,Arabian,3,0,5,5,6,5,8,9,4,NA,5,NA,8,7,4,2,9
60519,51500000,"chinese,salvadorian",Hyderabad,Near Party Hub,21-02-2011,84.8,Tier A Celebrity,87.4,1,1,1,1,0,2,Bar,Greek,3,0,4,5,5,6,7,7,NA,3,NA,NA,6,6,6,2,5
60520,40000000,"turkish,nigerian",Mumbai,Near Business Hub,18-02-2009,80,Not Specific,74,1,1,0,1,1,2,Bar,Parsi,3,0,10,3,5,6,9,9,NA,4,NA,NA,8,5,5,3,3
60521,23500000,"polish,jewish",Hyderabad,Near Business Hub,13-01-2009,64,Not Specific,76,1,1,1,1,1,2,Caffee,Arabian,4,1,8,4,4,4,7,7,4,NA,3,NA,8,5,7,5,6
60522,12000000,"algerian,korean",Aurangabad,Near Party Hub,25-08-2009,78,Not Specific,64,1,1,1,0,1,2,Bar,Nature,1,0,3,4,5,4,10,8,NA,NA,NA,3,7,7,5,6,7
60523,5500000,"irish,belgian",-1,Near Party Hub,03-03-2010,75.06,Not Specific,63.4,0,1,1,1,1,2,Bar,Arabian,2,0,3,2,4,1,6,8,3,NA,NA,NA,7,7,4,5,7
60524,12000000,"peruvian,cuban",Hyderabad,Near Business Hub,08-03-2010,63,Tier A Celebrity,64,1,1,1,1,1,2,Bar,90's,3,1,3,2,3,2,10,6,2,NA,NA,NA,0,0,0,2,0
60525,10000000,"indian,irish",Hyderabad,Near Party Hub,05-06-2010,86.66,Not Specific,93,0,1,1,1,1,2,Bar,Greek,3,1,3,3,3,4,5,7,3,3,NA,NA,9,7,3,6,7
60526,32500000,"tibetan,italian",Bangalore,Near Party Hub,05-12-2009,82,Tier A Celebrity,82,1,1,1,1,1,2,Bar,Arabian,2,1,10,6,6,7,10,9,5,NA,5,NA,8,7,4,3,8
60527,10000000,"turkish,sapnish",chennai,Near Party Hub,29-05-2010,70.9,Not Specific,66.6,1,1,1,1,1,2,Bar,Greek,2,1,4,3,3,3,6,9,2,4,NA,NA,9,7,5,3,6
60528,40000000,"algerian,algerian",Belgaum,Near Business Hub,09-10-2008,91.8,Not Specific,87.66,1,1,1,1,1,2,Bar,Greek,3,0,5,6,5,5,7,8,NA,3,NA,NA,6,7,3,3,3
60529,25000000,"indian,irish",New Delhi,Near Party Hub,24-05-2005,77,Tier A Celebrity,52,1,1,0,1,1,2,Bar,Nature,2,0,7,5,4,5,9,9,NA,NA,NA,4,6,5,5,2,5
60530,22000000,"tibetan,greek",-1,Near Party Hub,03-11-2009,64.4,Tier A Celebrity,68,0,1,1,1,1,2,Caffee,Arabian,3,0,5,5,6,4,5,10,4,NA,NA,NA,7,8,5,3,7
60531,34500000,"japanese,thai",Pune,Near Party Hub,12-05-2010,72.8,Tier A Celebrity,65.4,1,1,1,1,1,2,Bar,Arabian,3,0,7,4,5,4,7,10,5,NA,4,NA,3,6,4,6,4
60532,34000000,"algerian,korean",Bangalore,Near Party Hub,08-12-2010,74,Not Specific,78,1,1,1,1,1,2,Bar,Parsi,3,0,10,4,4,5,7,10,5,3,NA,NA,8,7,6,5,10
60533,25000000,"tibetan,greek",Bangalore,Near Party Hub,19-02-2009,81.12,Not Specific,55,1,1,0,1,1,2,Bar,90's,2,1,9,4,4,3,8,8,4,2,NA,NA,4,5,5,4,6
60534,37500000,"british,belgian",Kolkata,Near Party Hub,21-02-2010,77.8,Tier A Celebrity,76.6,0,1,1,1,1,2,Bar,Arabian,4,0,2,5,4,6,9,9,5,NA,5,NA,7,9,6,2,6
60535,10500000,"peruvian,cuban",Noida,Near Party Hub,20-08-2010,67.5,Not Specific,69.4,1,1,0,1,0,2,Bar,Arabian,3,0,3,4,4,6,9,10,4,NA,NA,NA,8,8,6,2,8
60536,20000000,"japanese,thai",gurgoan,Near Party Hub,25-07-2011,82.8,Tier A Celebrity,77.2,1,1,1,0,1,2,Bar,Greek,3,1,7,4,6,6,10,7,4,NA,NA,NA,4,5,5,6,9
60537,30000000,"algerian,belgian",Hyderabad,Near Party Hub,30-05-2011,78.2,Not Specific,84.5,1,1,0,1,1,2,Bar,Moonrise,3,0,7,6,5,5,7,NA,4,NA,NA,NA,6,7,2,2,6
60538,35000000,"algerian,belgian",Bangalore,Near Party Hub,06-12-2007,71.06,Not Specific,68.67,1,1,1,1,1,2,Bar,90's,2,0,2,5,4,4,10,8,3,NA,NA,NA,9,9,8,2,7
60539,10000000,"welsh,thai",Dehradun,Near Party Hub,02-07-2011,72,Not Specific,68,1,1,0,1,1,2,Bar,Arabian,4,0,6,3,4,4,7,10,4,NA,NA,NA,10,9,4,3,7
60540,18000000,"algerian,algerian",Noida,Near Party Hub,07-11-2008,,Tier A Celebrity,69,1,1,0,1,1,2,Bar,90's,2,0,1,7,4,5,5,8,4,NA,NA,NA,3,6,4,5,4
60541,34000000,"welsh,thai",Hyderabad,Near Party Hub,30-01-2012,71,Not Specific,58,1,1,0,1,1,2,Bar,Arabian,3,0,9,5,2,3,7,7,3,NA,NA,NA,5,7,6,1,6
60542,49500000,"tibetan,italian",Bangalore,Near Party Hub,02-09-2005,82.5,Not Specific,83.6,1,1,0,1,1,1,Bar,Arabian,3,1,3,5,6,6,6,9,5,NA,NA,NA,8,7,5,0,7
60543,9000000,"welsh,thai",Hyderabad,Near Party Hub,25-02-2010,71.28,Tier A Celebrity,68.66,1,1,1,0,1,2,Bar,90's,3,0,5,4,3,3,6,10,4,NA,NA,NA,7,6,3,2,7
60544,50000000,"tibetan,greek",-1,Near Business Hub,14-12-2009,85,Not Specific,93,0,1,0,1,0,2,Bar,90's,3,1,9,5,4,6,9,9,5,NA,NA,NA,7,7,6,1,7
60545,19000000,"chinese,salvadorian",New Delhi,Near Party Hub,05-08-2009,65,Not Specific,64,1,1,0,1,1,2,Bar,Greek,3,0,3,5,5,3,6,10,NA,NA,NA,NA,10,8,5,0,9
60546,12000000,"turkish,nigerian",Noida,Near Business Hub,02-02-2012,69.6,Not Specific,68,1,1,1,1,1,2,Bar,Greek,3,0,5,3,5,5,8,10,4,3,NA,NA,7,6,5,4,6
60547,24000000,"welsh,thai",New Delhi,Near Party Hub,07-10-2009,68,Tier A Celebrity,68,0,1,1,1,0,1,Bar,Arabian,1,0,3,3,5,5,9,9,5,NA,NA,NA,6,7,3,1,1
60548,46000000,"turkish,nigerian",Pune,Near Party Hub,28-03-2007,76,Not Specific,72,1,1,1,1,1,2,Bar,Arabian,1,1,7,3,3,5,8,8,4,NA,NA,NA,4,3,2,4,2
60549,30000000,"tibetan,greek",Chennai,Near Party Hub,31-03-2008,77.8,Tier A Celebrity,74,1,1,0,1,0,2,Bar,Arabian,2,0,10,5,5,5,5,9,5,NA,NA,NA,5,6,4,4,6
60550,18000000,"british,japanese",-1,Near Party Hub,18-06-2009,62.1,Not Specific,66,0,1,1,1,1,2,Bar,Greek,3,0,7,3,4,4,9,7,NA,NA,NA,NA,8,6,1,3,5
60551,45000000,"tibetan,greek",Hyderabad,Near Party Hub,27-08-2011,78,Tier A Celebrity,70,1,1,1,1,1,2,Bar,Arabian,4,1,7,5,5,3,7,10,5,NA,4,NA,7,7,6,0,6
60552,38000000,"polish,jewish",Pune,Near Party Hub,04-11-2007,84.4,Tier A Celebrity,73.8,0,1,1,1,1,2,Bar,Arabian,3,0,10,3,3,4,10,10,4,NA,NA,NA,5,8,3,7,8
60553,45000000,"tibetan,greek",Bangalore,Near Party Hub,02-08-2009,90.56,Not Specific,88,1,1,1,1,1,2,Bar,Parsi,3,0,4,4,5,5,5,10,NA,3,NA,NA,6,7,4,3,6
60554,50000000,"tibetan,greek",Noida,Near Party Hub,11-11-2005,87.6,Tier A Celebrity,77.2,1,1,1,0,1,1,Bar,Arabian,2,0,9,7,5,6,9,9,6,NA,NA,NA,9,8,4,4,6
60555,33000000,"japanese,thai",Chennai,Near Business Hub,23-03-2011,79,Tier A Celebrity,67.7,1,1,1,1,0,2,Bar,Greek,3,0,7,6,6,7,7,7,NA,2,3,NA,8,10,6,1,8
60556,40000000,"tibetan,italian",Hyderabad,Near Party Hub,15-06-2010,87,Not Specific,91.3,1,1,0,1,0,2,Bar,Belise,4,0,10,5,4,2,6,NA,3,3,NA,NA,9,9,9,1,7
60557,32000000,"tibetan,italian",Bangalore,Near Party Hub,04-10-2011,86,Tier A Celebrity,70,0,1,1,1,1,2,Bar,Arabian,4,0,9,5,4,4,5,10,4,NA,NA,NA,9,8,5,1,7
60558,30500000,"hawaiian,latvian",-1,Near Business Hub,27-08-2012,71.3,Not Specific,79.2,0,1,1,1,1,2,Bar,Arabian,4,0,8,4,4,6,8,7,4,NA,3,NA,4,5,7,7,6
60559,18500000,"japanese,thai",Noida,Near Business Hub,04-06-2009,71.3,Tier A Celebrity,71.4,0,1,1,1,1,1,Bar,Arabian,2,1,6,4,4,6,7,10,4,NA,NA,NA,6,10,9,7,9
60560,26000000,"welsh,thai",Noida,Near Business Hub,09-10-2011,82.8,Tier A Celebrity,76.6,1,1,1,1,0,2,Bar,Arabian,4,0,7,5,5,4,8,10,4,NA,4,NA,4,9,6,4,5
60561,45000000,"tibetan,greek",Pune,Near Business Hub,14-03-2011,88.8,Not Specific,79.8,1,1,1,1,0,2,Bar,Arabian,4,0,4,6,5,5,8,9,5,NA,NA,NA,6,8,4,5,6
60562,27500000,"welsh,thai",Chennai,Near Party Hub,25-09-2009,86.09,Not Specific,71.08,1,1,0,0,1,2,Bar,Greek,4,0,4,4,4,4,8,6,NA,2,NA,NA,5,7,5,6,7
60563,18000000,"tibetan,greek",Gurgaon,Near Business Hub,08-09-2005,86.4,Not Specific,81.6,0,1,1,1,0,1,Bar,Arabian,3,0,2,4,6,6,5,9,6,NA,NA,NA,4,9,5,2,8
60564,18000000,"polish,jewish",Rudrapur,Near Party Hub,16-11-2011,77,Tier A Celebrity,74,1,1,0,1,1,2,Bar,Nature,1,0,6,5,5,5,10,7,NA,NA,NA,3,3,5,5,2,7
60565,18500000,"hawaiian,latvian",-1,Near Party Hub,12-06-2010,67.72,Not Specific,67.25,1,1,1,1,0,2,Bar,Arabian,4,0,3,3,4,1,8,8,4,NA,NA,NA,6,8,5,6,9
60566,6500000,"welsh,thai",-1,Near Business Hub,19-11-2011,78,Tier A Celebrity,72,1,1,1,1,1,2,Bar,Arabian,3,0,2,5,5,4,7,10,4,NA,NA,NA,9,7,5,4,5
60567,37000000,"tibetan,greek",Bangalore,Near Party Hub,20-01-2011,78,Tier A Celebrity,69,0,1,0,1,1,2,Bar,Arabian,3,0,4,6,5,6,8,10,5,NA,4,NA,8,6,5,2,9
60568,31000000,"tibetan,greek",Navi Mumbai,Near Party Hub,11-03-2012,72.6,Tier A Celebrity,69.4,1,1,1,1,1,2,Bar,Greek,3,0,10,6,6,6,7,7,4,NA,NA,NA,8,8,5,0,6
60569,18000000,"irish,belgian",-1,Near Party Hub,26-09-2008,60,Not Specific,55.2,1,1,0,1,1,2,Bar,Arabian,3,1,1,5,5,6,10,9,5,NA,NA,NA,7,9,8,3,10
60570,44500000,"tibetan,greek",Gurgaon,Near Business Hub,17-10-2009,87.8,Tier A Celebrity,84,0,1,1,0,1,1,Bar,English,3,1,5,6,6,8,5,10,4,3,NA,NA,6,7,7,4,7
60571,19000000,"turkish,nigerian",Bangalore,Near Party Hub,04-01-2007,76.6,Tier A Celebrity,65.6,1,1,1,1,0,2,Bar,Greek,1,1,5,4,4,6,5,9,NA,4,NA,NA,6,5,2,5,5
60572,24000000,"turkish,sapnish",-1,Near Party Hub,14-04-2010,75,Not Specific,55,0,1,1,1,1,2,Bar,Arabian,2,1,6,5,5,4,7,10,4,NA,NA,NA,8,7,6,2,7
60573,29000000,"british,japanese",Bangalore,Near Business Hub,09-02-2011,85,Tier A Celebrity,80.6,0,1,1,1,1,2,Bar,Arabian,3,0,3,6,4,5,10,8,3,NA,NA,NA,10,9,8,0,8
60574,40000000,"indian,irish",Jamshedpur,Near Party Hub,17-07-2008,82.4,Tier A Celebrity,72.4,1,1,1,1,1,2,Bar,Greek,4,1,4,5,5,6,5,10,3,3,NA,NA,7,5,4,5,5
60575,18000000,"welsh,thai",Noida,Near Party Hub,29-03-2011,81,Tier A Celebrity,68,0,1,1,0,1,2,Bar,Arabian,2,0,7,5,4,2,8,10,3,NA,4,NA,3,4,4,4,5
60576,12000000,"tibetan,italian",Indore,Near Party Hub,22-07-2009,68.6,Tier A Celebrity,64.3,0,1,1,1,1,2,Bar,Greek,3,0,7,5,5,4,10,10,NA,3,NA,NA,8,7,1,0,5
60577,27500000,"turkish,sapnish",-1,Near Party Hub,27-09-2009,77.4,Tier A Celebrity,74.4,1,1,0,1,1,2,Bar,Greek,2,0,9,5,5,6,10,9,4,NA,NA,NA,6,9,5,1,8
